model,precision,phase,tokens,operator,arithmetic,calls,flops
TinyStories-Instruct-1M,fp32,prefill,1,Linear (lm_head),fp32,1,6432896
TinyStories-Instruct-1M,fp32,prefill,1,Linear,fp32,48,789504
TinyStories-Instruct-1M,fp32,prefill,1,GELU,fp32,8,18432
TinyStories-Instruct-1M,fp32,prefill,1,LayerNorm,fp32,17,6596
TinyStories-Instruct-1M,fp32,prefill,1,GroupedQueryAttention,fp32,8,2176
TinyStories-Instruct-1M,fp32,prefill,1,Softmax,fp32,8,640
TinyStories-Instruct-1M,fp32,prefill,1,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,1,Linear (lm_head),bf16,1,6432896
TinyStories-Instruct-1M,bf16,prefill,1,Linear,bf16,48,789504
TinyStories-Instruct-1M,bf16,prefill,1,GELU,bf16,8,18432
TinyStories-Instruct-1M,bf16,prefill,1,LayerNorm,bf16,17,6596
TinyStories-Instruct-1M,bf16,prefill,1,GroupedQueryAttention,bf16,8,2176
TinyStories-Instruct-1M,bf16,prefill,1,Softmax,bf16,8,640
TinyStories-Instruct-1M,bf16,prefill,1,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,1,Linear (lm_head),fp32,1,6432896
TinyStories-Instruct-1M,int8,prefill,1,Linear,int8,48,789504
TinyStories-Instruct-1M,int8,prefill,1,Quantize,fp32,48,18432
TinyStories-Instruct-1M,int8,prefill,1,GELU,fp32,8,18432
TinyStories-Instruct-1M,int8,prefill,1,Dequantize,fp32,48,9216
TinyStories-Instruct-1M,int8,prefill,1,LayerNorm,fp32,17,6596
TinyStories-Instruct-1M,int8,prefill,1,GroupedQueryAttention,fp32,8,2176
TinyStories-Instruct-1M,int8,prefill,1,Softmax,fp32,8,640
TinyStories-Instruct-1M,int8,prefill,1,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,1,Linear (lm_head),fp32,1,6432896
TinyStories-Instruct-1M,int4,prefill,1,Linear,fp32,48,789504
TinyStories-Instruct-1M,int4,prefill,1,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,1,GELU,fp32,8,18432
TinyStories-Instruct-1M,int4,prefill,1,LayerNorm,fp32,17,6596
TinyStories-Instruct-1M,int4,prefill,1,GroupedQueryAttention,fp32,8,2176
TinyStories-Instruct-1M,int4,prefill,1,Softmax,fp32,8,640
TinyStories-Instruct-1M,int4,prefill,1,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,2,Linear (lm_head),fp32,1,12865792
TinyStories-Instruct-1M,fp32,prefill,2,Linear,fp32,48,1579008
TinyStories-Instruct-1M,fp32,prefill,2,GELU,fp32,8,36864
TinyStories-Instruct-1M,fp32,prefill,2,LayerNorm,fp32,17,13192
TinyStories-Instruct-1M,fp32,prefill,2,GroupedQueryAttention,fp32,8,8704
TinyStories-Instruct-1M,fp32,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-1M,fp32,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,2,Linear (lm_head),bf16,1,12865792
TinyStories-Instruct-1M,bf16,prefill,2,Linear,bf16,48,1579008
TinyStories-Instruct-1M,bf16,prefill,2,GELU,bf16,8,36864
TinyStories-Instruct-1M,bf16,prefill,2,LayerNorm,bf16,17,13192
TinyStories-Instruct-1M,bf16,prefill,2,GroupedQueryAttention,bf16,8,8704
TinyStories-Instruct-1M,bf16,prefill,2,Softmax,bf16,8,2560
TinyStories-Instruct-1M,bf16,prefill,2,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,2,Linear (lm_head),fp32,1,12865792
TinyStories-Instruct-1M,int8,prefill,2,Linear,int8,48,1579008
TinyStories-Instruct-1M,int8,prefill,2,Quantize,fp32,48,36864
TinyStories-Instruct-1M,int8,prefill,2,GELU,fp32,8,36864
TinyStories-Instruct-1M,int8,prefill,2,Dequantize,fp32,48,18432
TinyStories-Instruct-1M,int8,prefill,2,LayerNorm,fp32,17,13192
TinyStories-Instruct-1M,int8,prefill,2,GroupedQueryAttention,fp32,8,8704
TinyStories-Instruct-1M,int8,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-1M,int8,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,2,Linear (lm_head),fp32,1,12865792
TinyStories-Instruct-1M,int4,prefill,2,Linear,fp32,48,1579008
TinyStories-Instruct-1M,int4,prefill,2,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,2,GELU,fp32,8,36864
TinyStories-Instruct-1M,int4,prefill,2,LayerNorm,fp32,17,13192
TinyStories-Instruct-1M,int4,prefill,2,GroupedQueryAttention,fp32,8,8704
TinyStories-Instruct-1M,int4,prefill,2,Softmax,fp32,8,2560
TinyStories-Instruct-1M,int4,prefill,2,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,4,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-1M,fp32,prefill,4,Linear,fp32,48,3158016
TinyStories-Instruct-1M,fp32,prefill,4,GELU,fp32,8,73728
TinyStories-Instruct-1M,fp32,prefill,4,GroupedQueryAttention,fp32,8,34816
TinyStories-Instruct-1M,fp32,prefill,4,LayerNorm,fp32,17,26384
TinyStories-Instruct-1M,fp32,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-1M,fp32,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,4,Linear (lm_head),bf16,1,25731584
TinyStories-Instruct-1M,bf16,prefill,4,Linear,bf16,48,3158016
TinyStories-Instruct-1M,bf16,prefill,4,GELU,bf16,8,73728
TinyStories-Instruct-1M,bf16,prefill,4,GroupedQueryAttention,bf16,8,34816
TinyStories-Instruct-1M,bf16,prefill,4,LayerNorm,bf16,17,26384
TinyStories-Instruct-1M,bf16,prefill,4,Softmax,bf16,8,10240
TinyStories-Instruct-1M,bf16,prefill,4,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,4,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-1M,int8,prefill,4,Linear,int8,48,3158016
TinyStories-Instruct-1M,int8,prefill,4,Quantize,fp32,48,73728
TinyStories-Instruct-1M,int8,prefill,4,GELU,fp32,8,73728
TinyStories-Instruct-1M,int8,prefill,4,Dequantize,fp32,48,36864
TinyStories-Instruct-1M,int8,prefill,4,GroupedQueryAttention,fp32,8,34816
TinyStories-Instruct-1M,int8,prefill,4,LayerNorm,fp32,17,26384
TinyStories-Instruct-1M,int8,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-1M,int8,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,4,Linear (lm_head),fp32,1,25731584
TinyStories-Instruct-1M,int4,prefill,4,Linear,fp32,48,3158016
TinyStories-Instruct-1M,int4,prefill,4,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,4,GELU,fp32,8,73728
TinyStories-Instruct-1M,int4,prefill,4,GroupedQueryAttention,fp32,8,34816
TinyStories-Instruct-1M,int4,prefill,4,LayerNorm,fp32,17,26384
TinyStories-Instruct-1M,int4,prefill,4,Softmax,fp32,8,10240
TinyStories-Instruct-1M,int4,prefill,4,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,8,Linear (lm_head),fp32,1,51463168
