model,precision,cache,tokens,bytes
TinyStories-Instruct-1M,fp32,stored,1,4096
TinyStories-Instruct-1M,fp32,stored,2,8192
TinyStories-Instruct-1M,fp32,stored,4,16384
TinyStories-Instruct-1M,fp32,stored,8,32768
TinyStories-Instruct-1M,fp32,stored,16,65536
TinyStories-Instruct-1M,fp32,stored,32,131072
TinyStories-Instruct-1M,fp32,stored,64,262144
TinyStories-Instruct-1M,fp32,stored,128,524288
TinyStories-Instruct-1M,fp32,stored,256,1048576
TinyStories-Instruct-1M,fp32,stored,512,2097152
TinyStories-Instruct-1M,fp32,stored,1024,4194304
TinyStories-Instruct-1M,fp32,stored,2048,8388608
TinyStories-Instruct-1M,fp32,needed,1,4096
TinyStories-Instruct-1M,fp32,needed,2,8192
TinyStories-Instruct-1M,fp32,needed,4,16384
TinyStories-Instruct-1M,fp32,needed,8,32768
TinyStories-Instruct-1M,fp32,needed,16,65536
TinyStories-Instruct-1M,fp32,needed,32,131072
TinyStories-Instruct-1M,fp32,needed,64,262144
TinyStories-Instruct-1M,fp32,needed,128,524288
TinyStories-Instruct-1M,fp32,needed,256,1048576
TinyStories-Instruct-1M,fp32,needed,512,1572864
TinyStories-Instruct-1M,fp32,needed,1024,2621440
TinyStories-Instruct-1M,fp32,needed,2048,4718592
TinyStories-Instruct-1M,bf16,stored,1,2048
TinyStories-Instruct-1M,bf16,stored,2,4096
TinyStories-Instruct-1M,bf16,stored,4,8192
TinyStories-Instruct-1M,bf16,stored,8,16384
TinyStories-Instruct-1M,bf16,stored,16,32768
TinyStories-Instruct-1M,bf16,stored,32,65536
TinyStories-Instruct-1M,bf16,stored,64,131072
TinyStories-Instruct-1M,bf16,stored,128,262144
TinyStories-Instruct-1M,bf16,stored,256,524288
TinyStories-Instruct-1M,bf16,stored,512,1048576
TinyStories-Instruct-1M,bf16,stored,1024,2097152
TinyStories-Instruct-1M,bf16,stored,2048,4194304
TinyStories-Instruct-1M,bf16,needed,1,2048
TinyStories-Instruct-1M,bf16,needed,2,4096
TinyStories-Instruct-1M,bf16,needed,4,8192
TinyStories-Instruct-1M,bf16,needed,8,16384
TinyStories-Instruct-1M,bf16,needed,16,32768
TinyStories-Instruct-1M,bf16,needed,32,65536
TinyStories-Instruct-1M,bf16,needed,64,131072
TinyStories-Instruct-1M,bf16,needed,128,262144
TinyStories-Instruct-1M,bf16,needed,256,524288
TinyStories-Instruct-1M,bf16,needed,512,786432
TinyStories-Instruct-1M,bf16,needed,1024,1310720
TinyStories-Instruct-1M,bf16,needed,2048,2359296
TinyStories-Instruct-1M,int8,stored,1,1536
TinyStories-Instruct-1M,int8,stored,2,3072
TinyStories-Instruct-1M,int8,stored,4,6144
TinyStories-Instruct-1M,int8,stored,8,12288
TinyStories-Instruct-1M,int8,stored,16,24576
TinyStories-Instruct-1M,int8,stored,32,49152
TinyStories-Instruct-1M,int8,stored,64,98304
TinyStories-Instruct-1M,int8,stored,128,196608
TinyStories-Instruct-1M,int8,stored,256,393216
TinyStories-Instruct-1M,int8,stored,512,786432
TinyStories-Instruct-1M,int8,stored,1024,1572864
TinyStories-Instruct-1M,int8,stored,2048,3145728
TinyStories-Instruct-1M,int8,needed,1,1536
TinyStories-Instruct-1M,int8,needed,2,3072
TinyStories-Instruct-1M,int8,needed,4,6144
TinyStories-Instruct-1M,int8,needed,8,12288
TinyStories-Instruct-1M,int8,needed,16,24576
TinyStories-Instruct-1M,int8,needed,32,49152
TinyStories-Instruct-1M,int8,needed,64,98304
TinyStories-Instruct-1M,int8,needed,128,196608
TinyStories-Instruct-1M,int8,needed,256,393216
TinyStories-Instruct-1M,int8,needed,512,589824
TinyStories-Instruct-1M,int8,needed,1024,983040
TinyStories-Instruct-1M,int8,needed,2048,1769472
TinyStories-Instruct-1M,int4,stored,1,1024
TinyStories-Instruct-1M,int4,stored,2,2048
TinyStories-Instruct-1M,int4,stored,4,4096
TinyStories-Instruct-1M,int4,stored,8,8192
TinyStories-Instruct-1M,int4,stored,16,16384
TinyStories-Instruct-1M,int4,stored,32,32768
TinyStories-Instruct-1M,int4,stored,64,65536
TinyStories-Instruct-1M,int4,stored,128,131072
TinyStories-Instruct-1M,int4,stored,256,262144
TinyStories-Instruct-1M,int4,stored,512,524288
TinyStories-Instruct-1M,int4,stored,1024,1048576
TinyStories-Instruct-1M,int4,stored,2048,2097152
TinyStories-Instruct-1M,int4,needed,1,1024
TinyStories-Instruct-1M,int4,needed,2,2048
TinyStories-Instruct-1M,int4,needed,4,4096
TinyStories-Instruct-1M,int4,needed,8,8192
TinyStories-Instruct-1M,int4,needed,16,16384
TinyStories-Instruct-1M,int4,needed,32,32768
TinyStories-Instruct-1M,int4,needed,64,65536
TinyStories-Instruct-1M,int4,needed,128,131072
TinyStories-Instruct-1M,int4,needed,256,262144
TinyStories-Instruct-1M,int4,needed,512,393216
TinyStories-Instruct-1M,int4,needed,1024,655360
TinyStories-Instruct-1M,int4,needed,2048,1179648
TinyStories-Instruct-3M,fp32,stored,1,8192
TinyStories-Instruct-3M,fp32,stored,2,16384
TinyStories-Instruct-3M,fp32,stored,4,32768
TinyStories-Instruct-3M,fp32,stored,8,65536
TinyStories-Instruct-3M,fp32,stored,16,131072
TinyStories-Instruct-3M,fp32,stored,32,262144
TinyStories-Instruct-3M,fp32,stored,64,524288
TinyStories-Instruct-3M,fp32,stored,128,1048576
TinyStories-Instruct-3M,fp32,stored,256,2097152
TinyStories-Instruct-3M,fp32,stored,512,4194304
TinyStories-Instruct-3M,fp32,stored,1024,8388608
TinyStories-Instruct-3M,fp32,stored,2048,16777216
TinyStories-Instruct-3M,fp32,needed,1,8192
TinyStories-Instruct-3M,fp32,needed,2,16384
