model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
GPT-2,bf16,bf16,256 MB,1,248879616,36864,530
GPT-2,bf16,bf16,256 MB,4,248879616,36864,132
GPT-2,bf16,bf16,256 MB,16,248879616,36864,33
GPT-2,bf16,bf16,256 MB,64,248879616,36864,8
GPT-2,bf16,bf16,512 MB,1,248879616,36864,1024
GPT-2,bf16,bf16,512 MB,4,248879616,36864,1024
GPT-2,bf16,bf16,512 MB,16,248879616,36864,488
GPT-2,bf16,bf16,512 MB,64,248879616,36864,122
GPT-2,bf16,bf16,1 GB,1,248879616,36864,1024
GPT-2,bf16,bf16,1 GB,4,248879616,36864,1024
GPT-2,bf16,bf16,1 GB,16,248879616,36864,1024
GPT-2,bf16,bf16,1 GB,64,248879616,36864,349
GPT-2,bf16,bf16,2 GB,1,248879616,36864,1024
GPT-2,bf16,bf16,2 GB,4,248879616,36864,1024
GPT-2,bf16,bf16,2 GB,16,248879616,36864,1024
GPT-2,bf16,bf16,2 GB,64,248879616,36864,804
GPT-2,bf16,bf16,4 GB,1,248879616,36864,1024
GPT-2,bf16,bf16,4 GB,4,248879616,36864,1024
GPT-2,bf16,bf16,4 GB,16,248879616,36864,1024
GPT-2,bf16,bf16,4 GB,64,248879616,36864,1024
GPT-2,bf16,bf16,8 GB,1,248879616,36864,1024
GPT-2,bf16,bf16,8 GB,4,248879616,36864,1024
GPT-2,bf16,bf16,8 GB,16,248879616,36864,1024
GPT-2,bf16,bf16,8 GB,64,248879616,36864,1024
GPT-2,bf16,int8,256 MB,1,248879616,19008,1024
GPT-2,bf16,int8,256 MB,4,248879616,19008,257
GPT-2,bf16,int8,256 MB,16,248879616,19008,64
GPT-2,bf16,int8,256 MB,64,248879616,19008,16
GPT-2,bf16,int8,512 MB,1,248879616,19008,1024
GPT-2,bf16,int8,512 MB,4,248879616,19008,1024
GPT-2,bf16,int8,512 MB,16,248879616,19008,946
GPT-2,bf16,int8,512 MB,64,248879616,19008,236
GPT-2,bf16,int8,1 GB,1,248879616,19008,1024
GPT-2,bf16,int8,1 GB,4,248879616,19008,1024
GPT-2,bf16,int8,1 GB,16,248879616,19008,1024
GPT-2,bf16,int8,1 GB,64,248879616,19008,678
GPT-2,bf16,int8,2 GB,1,248879616,19008,1024
GPT-2,bf16,int8,2 GB,4,248879616,19008,1024
GPT-2,bf16,int8,2 GB,16,248879616,19008,1024
GPT-2,bf16,int8,2 GB,64,248879616,19008,1024
GPT-2,bf16,int8,4 GB,1,248879616,19008,1024
GPT-2,bf16,int8,4 GB,4,248879616,19008,1024
GPT-2,bf16,int8,4 GB,16,248879616,19008,1024
GPT-2,bf16,int8,4 GB,64,248879616,19008,1024
GPT-2,bf16,int8,8 GB,1,248879616,19008,1024
GPT-2,bf16,int8,8 GB,4,248879616,19008,1024
GPT-2,bf16,int8,8 GB,16,248879616,19008,1024
GPT-2,bf16,int8,8 GB,64,248879616,19008,1024
GPT-2,bf16,int4,256 MB,1,248879616,9792,1024
GPT-2,bf16,int4,256 MB,4,248879616,9792,499
GPT-2,bf16,int4,256 MB,16,248879616,9792,124
GPT-2,bf16,int4,256 MB,64,248879616,9792,31
GPT-2,bf16,int4,512 MB,1,248879616,9792,1024
GPT-2,bf16,int4,512 MB,4,248879616,9792,1024
GPT-2,bf16,int4,512 MB,16,248879616,9792,1024
GPT-2,bf16,int4,512 MB,64,248879616,9792,459
GPT-2,bf16,int4,1 GB,1,248879616,9792,1024
GPT-2,bf16,int4,1 GB,4,248879616,9792,1024
GPT-2,bf16,int4,1 GB,16,248879616,9792,1024
GPT-2,bf16,int4,1 GB,64,248879616,9792,1024
GPT-2,bf16,int4,2 GB,1,248879616,9792,1024
GPT-2,bf16,int4,2 GB,4,248879616,9792,1024
GPT-2,bf16,int4,2 GB,16,248879616,9792,1024
GPT-2,bf16,int4,2 GB,64,248879616,9792,1024
GPT-2,bf16,int4,4 GB,1,248879616,9792,1024
GPT-2,bf16,int4,4 GB,4,248879616,9792,1024
GPT-2,bf16,int4,4 GB,16,248879616,9792,1024
GPT-2,bf16,int4,4 GB,64,248879616,9792,1024
GPT-2,bf16,int4,8 GB,1,248879616,9792,1024
GPT-2,bf16,int4,8 GB,4,248879616,9792,1024
GPT-2,bf16,int4,8 GB,16,248879616,9792,1024
GPT-2,bf16,int4,8 GB,64,248879616,9792,1024
GPT-2,int8,bf16,256 MB,1,164110848,36864,1024
GPT-2,int8,bf16,256 MB,4,164110848,36864,707
GPT-2,int8,bf16,256 MB,16,164110848,36864,176
GPT-2,int8,bf16,256 MB,64,164110848,36864,44
GPT-2,int8,bf16,512 MB,1,164110848,36864,1024
GPT-2,int8,bf16,512 MB,4,164110848,36864,1024
GPT-2,int8,bf16,512 MB,16,164110848,36864,631
GPT-2,int8,bf16,512 MB,64,164110848,36864,157
GPT-2,int8,bf16,1 GB,1,164110848,36864,1024
GPT-2,int8,bf16,1 GB,4,164110848,36864,1024
GPT-2,int8,bf16,1 GB,16,164110848,36864,1024
GPT-2,int8,bf16,1 GB,64,164110848,36864,385
GPT-2,int8,bf16,2 GB,1,164110848,36864,1024
GPT-2,int8,bf16,2 GB,4,164110848,36864,1024
GPT-2,int8,bf16,2 GB,16,164110848,36864,1024
GPT-2,int8,bf16,2 GB,64,164110848,36864,840
GPT-2,int8,bf16,4 GB,1,164110848,36864,1024
GPT-2,int8,bf16,4 GB,4,164110848,36864,1024
GPT-2,int8,bf16,4 GB,16,164110848,36864,1024
GPT-2,int8,bf16,4 GB,64,164110848,36864,1024
GPT-2,int8,bf16,8 GB,1,164110848,36864,1024
GPT-2,int8,bf16,8 GB,4,164110848,36864,1024
GPT-2,int8,bf16,8 GB,16,164110848,36864,1024
GPT-2,int8,bf16,8 GB,64,164110848,36864,1024
GPT-2,int8,int8,256 MB,1,164110848,19008,1024
GPT-2,int8,int8,256 MB,4,164110848,19008,1024
GPT-2,int8,int8,256 MB,16,164110848,19008,343
