model,weights,kv,batch,length,bytes_per_step,bandwidth_gbs,step_ms,stream_tokens_per_s,total_tokens_per_s
GPT-2,bf16,bf16,1,128,253598208,4,63.400,15.8,15.8
GPT-2,bf16,bf16,1,128,253598208,8,31.700,31.5,31.5
GPT-2,bf16,bf16,1,128,253598208,16,15.850,63.1,63.1
GPT-2,bf16,bf16,1,128,253598208,32,7.925,126.2,126.2
GPT-2,bf16,bf16,1,128,253598208,64,3.962,252.4,252.4
GPT-2,bf16,bf16,1,128,253598208,128,1.981,504.7,504.7
GPT-2,bf16,bf16,1,128,253598208,256,0.991,1009.5,1009.5
GPT-2,bf16,bf16,1,128,253598208,512,0.495,2018.9,2018.9
GPT-2,bf16,bf16,1,256,258316800,4,64.579,15.5,15.5
GPT-2,bf16,bf16,1,256,258316800,8,32.290,31.0,31.0
GPT-2,bf16,bf16,1,256,258316800,16,16.145,61.9,61.9
GPT-2,bf16,bf16,1,256,258316800,32,8.072,123.9,123.9
GPT-2,bf16,bf16,1,256,258316800,64,4.036,247.8,247.8
GPT-2,bf16,bf16,1,256,258316800,128,2.018,495.5,495.5
GPT-2,bf16,bf16,1,256,258316800,256,1.009,991.0,991.0
GPT-2,bf16,bf16,1,256,258316800,512,0.505,1982.1,1982.1
GPT-2,bf16,bf16,1,512,267753984,4,66.938,14.9,14.9
GPT-2,bf16,bf16,1,512,267753984,8,33.469,29.9,29.9
GPT-2,bf16,bf16,1,512,267753984,16,16.735,59.8,59.8
GPT-2,bf16,bf16,1,512,267753984,32,8.367,119.5,119.5
GPT-2,bf16,bf16,1,512,267753984,64,4.184,239.0,239.0
GPT-2,bf16,bf16,1,512,267753984,128,2.092,478.1,478.1
GPT-2,bf16,bf16,1,512,267753984,256,1.046,956.1,956.1
GPT-2,bf16,bf16,1,512,267753984,512,0.523,1912.2,1912.2
GPT-2,bf16,bf16,1,1024,286628352,4,71.657,14.0,14.0
GPT-2,bf16,bf16,1,1024,286628352,8,35.829,27.9,27.9
GPT-2,bf16,bf16,1,1024,286628352,16,17.914,55.8,55.8
GPT-2,bf16,bf16,1,1024,286628352,32,8.957,111.6,111.6
GPT-2,bf16,bf16,1,1024,286628352,64,4.479,223.3,223.3
GPT-2,bf16,bf16,1,1024,286628352,128,2.239,446.6,446.6
GPT-2,bf16,bf16,1,1024,286628352,256,1.120,893.1,893.1
GPT-2,bf16,bf16,1,1024,286628352,512,0.560,1786.3,1786.3
GPT-2,bf16,bf16,4,128,267753984,4,66.938,14.9,59.8
GPT-2,bf16,bf16,4,128,267753984,8,33.469,29.9,119.5
GPT-2,bf16,bf16,4,128,267753984,16,16.735,59.8,239.0
GPT-2,bf16,bf16,4,128,267753984,32,8.367,119.5,478.1
GPT-2,bf16,bf16,4,128,267753984,64,4.184,239.0,956.1
GPT-2,bf16,bf16,4,128,267753984,128,2.092,478.1,1912.2
GPT-2,bf16,bf16,4,128,267753984,256,1.046,956.1,3824.4
