model,operator,calls,macs,share
ConvNeXt-T,Linear,37,4173292264,0.922309
ConvNeXt-T,Conv2d,22,295674624,0.065345
ConvNeXt-T,ErfGELU,18,42900480,0.009481
ConvNeXt-T,LayerNorm,18,12924828,0.002856
ConvNeXt-T,AdaptiveAvgPool2d,1,38400,0.000008
ConvNeXt-T,Total,96,4524830596,1
ConvNeXt-S,Linear,73,8341864168,0.948329
ConvNeXt-S,Conv2d,40,363412224,0.041314
ConvNeXt-S,ErfGELU,36,69995520,0.007957
ConvNeXt-S,LayerNorm,36,21067452,0.002395
ConvNeXt-S,AdaptiveAvgPool2d,1,38400,0.000004
ConvNeXt-S,Total,186,8796377764,1
ConvNeXt-B,Linear,73,14821861352,0.955945
ConvNeXt-B,Conv2d,40,561619968,0.036222
ConvNeXt-B,ErfGELU,36,93327360,0.006019
ConvNeXt-B,LayerNorm,36,28067004,0.001810
ConvNeXt-B,AdaptiveAvgPool2d,1,51200,0.000003
ConvNeXt-B,Total,186,15504926884,1
ConvNeXt-L,Linear,73,33330919912,0.963692
ConvNeXt-L,Conv2d,40,1073640960,0.031042
ConvNeXt-L,ErfGELU,36,139991040,0.004048
ConvNeXt-L,LayerNorm,36,42066108,0.001216
ConvNeXt-L,AdaptiveAvgPool2d,1,76800,0.000002
ConvNeXt-L,Total,186,34586694820,1
ConvNeXt-XL,Linear,73,59281433937,0.967638
ConvNeXt-XL,Conv2d,40,1739802624,0.028398
ConvNeXt-XL,ErfGELU,36,186654720,0.003047
ConvNeXt-XL,LayerNorm,36,56065212,0.000915
ConvNeXt-XL,AdaptiveAvgPool2d,1,102400,0.000002
ConvNeXt-XL,Total,186,61264058893,1
