model,operator,calls,macs,share
VGG-11,Conv2d,8,7492882432,0.982012
VGG-11,Linear,3,123642856,0.016205
VGG-11,ReLU,10,7434240,0.000974
VGG-11,MaxPool2d,5,6121472,0.000802
VGG-11,AdaptiveAvgPool2d,1,50176,0.000007
VGG-11,Dropout,2,0,0.000000
VGG-11,Total,29,7630131176,1
VGG-11-BN,Conv2d,8,7492882432,0.978203
VGG-11-BN,Linear,3,123642856,0.016142
VGG-11-BN,BatchNorm2d,8,29709696,0.003879
VGG-11-BN,ReLU,10,7434240,0.000971
VGG-11-BN,MaxPool2d,5,6121472,0.000799
VGG-11-BN,AdaptiveAvgPool2d,1,50176,0.000007
VGG-11-BN,Dropout,2,0,0.000000
VGG-11-BN,Total,37,7659840872,1
VGG-13,Conv2d,10,11197075456,0.987471
VGG-13,Linear,3,123642856,0.010904
VGG-13,ReLU,12,12251136,0.001080
VGG-13,MaxPool2d,5,6121472,0.000540
VGG-13,AdaptiveAvgPool2d,1,50176,0.000004
VGG-13,Dropout,2,0,0.000000
VGG-13,Total,33,11339141096,1
VGG-13-BN,Conv2d,10,11197075456,0.983224
VGG-13-BN,Linear,3,123642856,0.010857
VGG-13-BN,BatchNorm2d,10,48977664,0.004301
VGG-13-BN,ReLU,12,12251136,0.001076
VGG-13-BN,MaxPool2d,5,6121472,0.000538
VGG-13-BN,AdaptiveAvgPool2d,1,50176,0.000004
VGG-13-BN,Dropout,2,0,0.000000
VGG-13-BN,Total,43,11388118760,1
VGG-16,Conv2d,13,15360178176,0.990752
VGG-16,Linear,3,123642856,0.007975
VGG-16,ReLU,15,13555712,0.000874
VGG-16,MaxPool2d,5,6121472,0.000395
VGG-16,AdaptiveAvgPool2d,1,50176,0.000003
VGG-16,Dropout,2,0,0.000000
VGG-16,Total,39,15503548392,1
VGG-16-BN,Conv2d,13,15360178176,0.987301
VGG-16-BN,Linear,3,123642856,0.007947
VGG-16-BN,BatchNorm2d,13,54198528,0.003484
VGG-16-BN,ReLU,15,13555712,0.000871
VGG-16-BN,MaxPool2d,5,6121472,0.000393
VGG-16-BN,AdaptiveAvgPool2d,1,50176,0.000003
VGG-16-BN,Dropout,2,0,0.000000
VGG-16-BN,Total,52,15557746920,1
VGG-19,Conv2d,16,19523280896,0.992644
VGG-19,Linear,3,123642856,0.006287
VGG-19,ReLU,18,14860288,0.000756
VGG-19,MaxPool2d,5,6121472,0.000311
VGG-19,AdaptiveAvgPool2d,1,50176,0.000003
VGG-19,Dropout,2,0,0.000000
VGG-19,Total,45,19667955688,1
VGG-19-BN,Conv2d,16,19523280896,0.989654
VGG-19-BN,Linear,3,123642856,0.006268
VGG-19-BN,BatchNorm2d,16,59419392,0.003012
VGG-19-BN,ReLU,18,14860288,0.000753
VGG-19-BN,MaxPool2d,5,6121472,0.000310
VGG-19-BN,AdaptiveAvgPool2d,1,50176,0.000003
VGG-19-BN,Dropout,2,0,0.000000
VGG-19-BN,Total,61,19727375080,1
