model,operator,calls,macs,share
YOLO11-n,Conv2d,88,3241740800,0.961689
YOLO11-n,BatchNorm2d,81,65423664,0.019408
YOLO11-n,SiLU,77,32192000,0.009550
YOLO11-n,GroupedQueryAttention,1,20800000,0.006170
YOLO11-n,Softmax,2,4288000,0.001272
YOLO11-n,MaxPool2d,3,3840000,0.001139
YOLO11-n,Interpolate,2,1843200,0.000547
YOLO11-n,Sigmoid,1,672000,0.000199
YOLO11-n,DistanceToBox,1,84000,0.000025
YOLO11-n,DFL,1,0,0.000000
YOLO11-n,Total,257,3370883664,1
YOLO11-s,Conv2d,88,10734649600,0.977815
YOLO11-s,BatchNorm2d,81,123319584,0.011233
YOLO11-s,SiLU,77,60620800,0.005522
YOLO11-s,GroupedQueryAttention,1,41600000,0.003789
YOLO11-s,MaxPool2d,3,7680000,0.000700
YOLO11-s,Softmax,2,5888000,0.000536
YOLO11-s,Interpolate,2,3686400,0.000336
YOLO11-s,Sigmoid,1,672000,0.000061
YOLO11-s,DistanceToBox,1,84000,0.000008
YOLO11-s,DFL,1,0,0.000000
YOLO11-s,Total,257,10978200384,1
YOLO11-m,Conv2d,113,33991993600,0.986503
YOLO11-m,BatchNorm2d,106,269357952,0.007817
YOLO11-m,SiLU,102,133632000,0.003878
YOLO11-m,GroupedQueryAttention,1,41600000,0.001207
YOLO11-m,MaxPool2d,3,7680000,0.000223
YOLO11-m,Interpolate,2,6144000,0.000178
YOLO11-m,Softmax,2,5888000,0.000171
YOLO11-m,Sigmoid,1,672000,0.000020
YOLO11-m,DistanceToBox,1,84000,0.000002
YOLO11-m,DFL,1,0,0.000000
YOLO11-m,Total,332,34457051552,1
YOLO11-l,Conv2d,174,43456313600,0.985795
YOLO11-l,BatchNorm2d,167,347607936,0.007885
YOLO11-l,SiLU,159,171724800,0.003896
YOLO11-l,GroupedQueryAttention,2,83200000,0.001887
YOLO11-l,Softmax,3,9088000,0.000206
YOLO11-l,MaxPool2d,3,7680000,0.000174
YOLO11-l,Interpolate,2,6144000,0.000139
YOLO11-l,Sigmoid,1,672000,0.000015
YOLO11-l,DistanceToBox,1,84000,0.000002
YOLO11-l,DFL,1,0,0.000000
YOLO11-l,Total,513,44082514336,1
YOLO11-x,Conv2d,174,97453113600,0.990471
YOLO11-x,BatchNorm2d,167,521411904,0.005299
YOLO11-x,SiLU,159,257587200,0.002618
YOLO11-x,GroupedQueryAttention,2,124800000,0.001268
YOLO11-x,Softmax,3,12288000,0.000125
YOLO11-x,MaxPool2d,3,11520000,0.000117
YOLO11-x,Interpolate,2,9216000,0.000094
YOLO11-x,Sigmoid,1,672000,0.000007
YOLO11-x,DistanceToBox,1,84000,0.000001
YOLO11-x,DFL,1,0,0.000000
YOLO11-x,Total,513,98390692704,1
