model,operator,calls,macs,share
YOLOv8-n,Conv2d,64,4373203200,0.979294
YOLOv8-n,BatchNorm2d,57,55562592,0.012442
YOLOv8-n,SiLU,57,27776000,0.006220
YOLOv8-n,MaxPool2d,3,3840000,0.000860
YOLOv8-n,Softmax,1,2688000,0.000602
YOLOv8-n,Interpolate,2,1843200,0.000413
YOLOv8-n,Sigmoid,1,672000,0.000150
YOLOv8-n,DistanceToBox,1,84000,0.000019
YOLOv8-n,DFL,1,0,0.000000
YOLOv8-n,Total,187,4465668992,1
YOLOv8-s,Conv2d,64,14302521600,0.988130
YOLOv8-s,BatchNorm2d,57,104672832,0.007232
YOLOv8-s,SiLU,57,52326400,0.003615
YOLOv8-s,MaxPool2d,3,7680000,0.000531
YOLOv8-s,Interpolate,2,3686400,0.000255
YOLOv8-s,Softmax,1,2688000,0.000186
YOLOv8-s,Sigmoid,1,672000,0.000046
YOLOv8-s,DistanceToBox,1,84000,0.000006
YOLOv8-s,DFL,1,0,0.000000
YOLOv8-s,Total,187,14474331232,1
YOLOv8-m,Conv2d,84,39469574400,0.992459
YOLOv8-m,BatchNorm2d,77,188500320,0.004740
YOLOv8-m,SiLU,77,94233600,0.002369
YOLOv8-m,MaxPool2d,3,8640000,0.000217
YOLOv8-m,Interpolate,2,5068800,0.000127
YOLOv8-m,Softmax,1,2688000,0.000068
YOLOv8-m,Sigmoid,1,672000,0.000017
YOLOv8-m,DistanceToBox,1,84000,0.000002
YOLOv8-m,DFL,1,0,0.000000
YOLOv8-m,Total,247,39769461120,1
YOLOv8-l,Conv2d,104,82575468800,0.994497
YOLOv8-l,BatchNorm2d,97,293115264,0.003530
YOLOv8-l,SiLU,97,146534400,0.001765
YOLOv8-l,MaxPool2d,3,7680000,0.000092
YOLOv8-l,Interpolate,2,6144000,0.000074
YOLOv8-l,Softmax,1,2688000,0.000032
YOLOv8-l,Sigmoid,1,672000,0.000008
YOLOv8-l,DistanceToBox,1,84000,0.000001
YOLOv8-l,DFL,1,0,0.000000
YOLOv8-l,Total,307,83032386464,1
YOLOv8-x,Conv2d,104,128903379200,0.995595
YOLOv8-x,BatchNorm2d,97,366394080,0.002830
YOLOv8-x,SiLU,97,183168000,0.001415
YOLOv8-x,MaxPool2d,3,9600000,0.000074
YOLOv8-x,Interpolate,2,7680000,0.000059
YOLOv8-x,Softmax,1,2688000,0.000021
YOLOv8-x,Sigmoid,1,672000,0.000005
YOLOv8-x,DistanceToBox,1,84000,0.000001
YOLOv8-x,DFL,1,0,0.000000
YOLOv8-x,Total,307,129473665280,1
YOLOv3u,Conv2d,91,141276064000,0.995902
YOLOv3u,BatchNorm2d,84,384056448,0.002707
YOLOv3u,SiLU,84,192000000,0.001353
YOLOv3u,Softmax,1,2688000,0.000019
YOLOv3u,Interpolate,2,1843200,0.000013
YOLOv3u,Sigmoid,1,672000,0.000005
YOLOv3u,DistanceToBox,1,84000,0.000001
YOLOv3u,DFL,1,0,0.000000
YOLOv3u,Total,265,141857407648,1
