model,operator,calls,macs,share
EfficientNet-B0,Conv2d,81,384544092,0.899472
EfficientNet-B0,BatchNorm2d,49,26992800,0.063138
EfficientNet-B0,SiLU,49,12315832,0.028807
EfficientNet-B0,AdaptiveAvgPool2d,17,2379488,0.005566
EfficientNet-B0,Linear,1,1281000,0.002996
EfficientNet-B0,Sigmoid,16,8960,0.000021
EfficientNet-B0,Dropout,1,0,0.000000
EfficientNet-B0,Total,214,427522172,1
EfficientNet-B1,Conv2d,115,568385840,0.905812
EfficientNet-B1,BatchNorm2d,69,37424352,0.059642
EfficientNet-B1,SiLU,69,16781888,0.026745
EfficientNet-B1,AdaptiveAvgPool2d,24,3600880,0.005739
EfficientNet-B1,Linear,1,1281000,0.002041
EfficientNet-B1,Sigmoid,23,13584,0.000022
EfficientNet-B1,Dropout,1,0,0.000000
EfficientNet-B1,Total,302,627487544,1
EfficientNet-B2,Conv2d,115,657570850,0.913758
EfficientNet-B2,BatchNorm2d,69,39236208,0.054522
EfficientNet-B2,SiLU,69,17608324,0.024468
EfficientNet-B2,AdaptiveAvgPool2d,24,3794288,0.005273
EfficientNet-B2,Linear,1,1409000,0.001958
EfficientNet-B2,Sigmoid,23,14784,0.000021
EfficientNet-B2,Dropout,1,0,0.000000
EfficientNet-B2,Total,302,719633454,1
