model,operator,calls,macs,share
TinyStories-Instruct-1M,Linear,49,462430208,0.934214
TinyStories-Instruct-1M,GroupedQueryAttention,8,18874368,0.038131
TinyStories-Instruct-1M,Softmax,8,10485760,0.021184
TinyStories-Instruct-1M,GELU,8,2359296,0.004766
TinyStories-Instruct-1M,LayerNorm,17,844288,0.001706
TinyStories-Instruct-1M,Embedding,2,0,0.000000
TinyStories-Instruct-1M,Total,92,494993920,1
TinyStories-Instruct-3M,Linear,49,1025523712,0.951268
TinyStories-Instruct-3M,GroupedQueryAttention,8,35651584,0.033070
TinyStories-Instruct-3M,Softmax,8,10485760,0.009727
TinyStories-Instruct-3M,GELU,8,4718592,0.004377
TinyStories-Instruct-3M,LayerNorm,17,1679872,0.001558
TinyStories-Instruct-3M,Embedding,2,0,0.000000
TinyStories-Instruct-3M,Total,92,1078059520,1
TinyStories-Instruct-8M,Linear,49,2453700608,0.963679
TinyStories-Instruct-8M,GroupedQueryAttention,8,69206016,0.027180
TinyStories-Instruct-8M,Softmax,8,10485760,0.004118
TinyStories-Instruct-8M,GELU,8,9437184,0.003706
TinyStories-Instruct-8M,LayerNorm,17,3351040,0.001316
TinyStories-Instruct-8M,Embedding,2,0,0.000000
TinyStories-Instruct-8M,Total,92,2546180608,1
TinyStories-Instruct-28M,Linear,49,6518013952,0.974236
TinyStories-Instruct-28M,GroupedQueryAttention,8,136314880,0.020375
TinyStories-Instruct-28M,GELU,8,18874368,0.002821
TinyStories-Instruct-28M,Softmax,8,10485760,0.001567
TinyStories-Instruct-28M,LayerNorm,17,6693376,0.001000
TinyStories-Instruct-28M,Embedding,2,0,0.000000
TinyStories-Instruct-28M,Total,92,6690382336,1
TinyStories-Instruct-33M,Linear,25,8566702080,0.985457
TinyStories-Instruct-33M,GroupedQueryAttention,4,101711872,0.011700
TinyStories-Instruct-33M,GELU,4,14155776,0.001628
TinyStories-Instruct-33M,LayerNorm,9,5313024,0.000611
TinyStories-Instruct-33M,Softmax,4,5242880,0.000603
TinyStories-Instruct-33M,Embedding,2,0,0.000000
TinyStories-Instruct-33M,Total,48,8693125632,1
