model,operator,calls,macs,share
BLOOM-560M,Linear,97,71566360576,0.986193
BLOOM-560M,GroupedQueryAttention,24,817889280,0.011271
BLOOM-560M,GELU,24,113246208,0.001561
BLOOM-560M,LayerNorm,50,39347200,0.000542
BLOOM-560M,Softmax,24,31457280,0.000433
BLOOM-560M,Embedding,1,0,0.000000
BLOOM-560M,Total,220,72568300544,1
BLOOM-1B1,Linear,97,136340570112,0.989255
BLOOM-1B1,GroupedQueryAttention,24,1220542464,0.008856
BLOOM-1B1,GELU,24,169869312,0.001233
BLOOM-1B1,LayerNorm,50,59008000,0.000428
BLOOM-1B1,Softmax,24,31457280,0.000228
BLOOM-1B1,Embedding,1,0,0.000000
BLOOM-1B1,Total,220,137821447168,1
