model,operator,calls,macs,share
GPT-2,Linear,49,15822716928,0.976947
GPT-2,GroupedQueryAttention,12,304349184,0.018792
GPT-2,GELU,12,42467328,0.002622
GPT-2,LayerNorm,25,14758400,0.000911
GPT-2,Softmax,12,11796480,0.000728
GPT-2,Embedding,2,0,0.000000
GPT-2,Total,112,16196088320,1
GPT-2-Medium,Linear,97,45270302720,0.978497
GPT-2-Medium,GroupedQueryAttention,24,811597824,0.017542
GPT-2-Medium,GELU,24,113246208,0.002448
GPT-2-Medium,LayerNorm,49,38560256,0.000833
GPT-2-Medium,Softmax,24,31457280,0.000680
GPT-2-Medium,Embedding,2,0,0.000000
GPT-2-Medium,Total,220,46265164288,1
GPT-2-Large,Linear,145,98884157440,0.981490
GPT-2-Large,GroupedQueryAttention,36,1521745920,0.015104
GPT-2-Large,GELU,36,212336640,0.002108
GPT-2-Large,LayerNorm,73,71799296,0.000713
GPT-2-Large,Softmax,36,58982400,0.000585
GPT-2-Large,Embedding,2,0,0.000000
GPT-2-Large,Total,328,100749021696,1
GPT-2-XL,Linear,193,199124787200,0.984633
GPT-2-XL,GroupedQueryAttention,48,2536243200,0.012541
GPT-2-XL,GELU,48,353894400,0.001750
GPT-2-XL,LayerNorm,97,119243264,0.000590
GPT-2-XL,Softmax,48,98304000,0.000486
GPT-2-XL,Embedding,2,0,0.000000
GPT-2-XL,Total,436,202232472064,1
