model,operator,calls,macs,share
TinyLlama-1.1B,Linear,155,132405788672,0.987712
TinyLlama-1.1B,GroupedQueryAttention,22,1487929344,0.011100
TinyLlama-1.1B,Softmax,22,57671680,0.000430
TinyLlama-1.1B,RMSNorm,45,47203200,0.000352
TinyLlama-1.1B,SiLU,22,31719424,0.000237
TinyLlama-1.1B,RotaryEmbedding,45,22728704,0.000170
TinyLlama-1.1B,Embedding,1,0,0.000000
TinyLlama-1.1B,Total,312,134053041024,1
Llama-3.2-1B,Linear,113,158175592448,0.992405
Llama-3.2-1B,GroupedQueryAttention,16,1082130432,0.006789
Llama-3.2-1B,Softmax,16,41943040,0.000263
Llama-3.2-1B,RMSNorm,33,34615680,0.000217
Llama-3.2-1B,SiLU,16,33554432,0.000211
Llama-3.2-1B,RotaryEmbedding,33,18370560,0.000115
Llama-3.2-1B,Embedding,1,0,0.000000
Llama-3.2-1B,Total,228,159386206592,1
SmolLM2-135M,Linear,211,17213423616,0.964535
SmolLM2-135M,GroupedQueryAttention,30,570654720,0.031976
SmolLM2-135M,Softmax,30,22118400,0.001239
SmolLM2-135M,RMSNorm,61,18013056,0.001009
SmolLM2-135M,SiLU,30,11796480,0.000661
SmolLM2-135M,RotaryEmbedding,61,10342400,0.000580
SmolLM2-135M,Embedding,1,0,0.000000
SmolLM2-135M,Total,424,17846348672,1
SmolLM2-360M,Linear,225,46305116160,0.976278
SmolLM2-360M,GroupedQueryAttention,32,1014497280,0.021389
SmolLM2-360M,Softmax,32,39321600,0.000829
SmolLM2-360M,RMSNorm,65,31973760,0.000674
SmolLM2-360M,SiLU,32,20971520,0.000442
SmolLM2-360M,RotaryEmbedding,65,18370560,0.000387
SmolLM2-360M,Embedding,1,0,0.000000
SmolLM2-360M,Total,452,47430250880,1
