model,operator,calls,macs,share
Qwen2.5-0.5B,Linear,169,63230574592,0.987489
Qwen2.5-0.5B,GroupedQueryAttention,24,710148096,0.011091
Qwen2.5-0.5B,SiLU,24,29884416,0.000467
Qwen2.5-0.5B,Softmax,24,27525120,0.000430
Qwen2.5-0.5B,RMSNorm,49,22497664,0.000351
Qwen2.5-0.5B,RotaryEmbedding,49,11030528,0.000172
Qwen2.5-0.5B,Embedding,1,0,0.000000
Qwen2.5-0.5B,Total,340,64031660416,1
Qwen2.5-1.5B,Linear,197,197584224256,0.992097
Qwen2.5-1.5B,GroupedQueryAttention,28,1414791168,0.007104
Qwen2.5-1.5B,SiLU,28,64225280,0.000322
Qwen2.5-1.5B,RMSNorm,57,44848512,0.000225
Qwen2.5-1.5B,Softmax,28,27525120,0.000138
Qwen2.5-1.5B,RotaryEmbedding,57,22519808,0.000113
Qwen2.5-1.5B,Embedding,1,0,0.000000
Qwen2.5-1.5B,Total,396,199158134144,1
