model,operator,calls,macs,share
ResNet-18,Conv2d,20,1813561344,0.992015
ResNet-18,BatchNorm2d,20,9944448,0.005440
ResNet-18,ReLU,17,2308096,0.001263
ResNet-18,MaxPool2d,1,1806336,0.000988
ResNet-18,Linear,1,513000,0.000281
ResNet-18,AdaptiveAvgPool2d,1,25600,0.000014
ResNet-18,Total,60,1828158824,1
ResNet-34,Conv2d,36,3663249408,0.994333
ResNet-34,BatchNorm2d,36,14969472,0.004063
ResNet-34,ReLU,33,3562496,0.000967
ResNet-34,MaxPool2d,1,1806336,0.000490
ResNet-34,Linear,1,513000,0.000139
ResNet-34,AdaptiveAvgPool2d,1,25600,0.000007
ResNet-34,Total,108,3684126312,1
ResNet-50,Conv2d,53,4087136256,0.985990
ResNet-50,BatchNorm2d,53,44509056,0.010737
ResNet-50,ReLU,49,9608704,0.002318
ResNet-50,Linear,1,2049000,0.000494
ResNet-50,MaxPool2d,1,1806336,0.000436
ResNet-50,AdaptiveAvgPool2d,1,102400,0.000025
ResNet-50,Total,158,4145211752,1
