model,operator,calls,macs,share
CLIP-ViT-B/32,Linear,146,7162445824,0.965551
CLIP-ViT-B/32,GroupedQueryAttention,24,119864736,0.016159
CLIP-ViT-B/32,Conv2d,1,115605504,0.015584
CLIP-ViT-B/32,LayerNorm,51,11690912,0.001576
CLIP-ViT-B/32,Softmax,24,4645920,0.000626
CLIP-ViT-B/32,Sigmoid,24,3735552,0.000504
CLIP-ViT-B/32,L2Norm,2,3076,0.000000
CLIP-ViT-B/32,Embedding,3,0,0.000000
CLIP-ViT-B/32,Total,275,7417991524,1
CLIP-ViT-B/16,Linear,146,19660033024,0.952587
CLIP-ViT-B/16,GroupedQueryAttention,24,794340720,0.038488
CLIP-ViT-B/16,Conv2d,1,115605504,0.005601
CLIP-ViT-B/16,Softmax,24,30788400,0.001492
CLIP-ViT-B/16,LayerNorm,51,28640012,0.001388
CLIP-ViT-B/16,Sigmoid,24,9154560,0.000444
CLIP-ViT-B/16,L2Norm,2,3076,0.000000
CLIP-ViT-B/16,Embedding,3,0,0.000000
CLIP-ViT-B/16,Total,275,20638565296,1
CLIP-ViT-L/14,Linear,218,84215976960,0.957026
CLIP-ViT-L/14,GroupedQueryAttention,36,3381940368,0.038432
CLIP-ViT-L/14,Conv2d,1,154140672,0.001752
CLIP-ViT-L/14,Softmax,36,131082960,0.001490
CLIP-ViT-L/14,LayerNorm,75,86306012,0.000981
CLIP-ViT-L/14,Sigmoid,36,28102656,0.000319
CLIP-ViT-L/14,L2Norm,2,4612,0.000000
CLIP-ViT-L/14,Embedding,3,0,0.000000
CLIP-ViT-L/14,Total,407,87997554240,1
