model,operator,calls,macs,share
SigLIP-B/16,Linear,148,22110479616,0.954555
SigLIP-B/16,GroupedQueryAttention,25,790006320,0.034106
SigLIP-B/16,Conv2d,1,115756032,0.004997
SigLIP-B/16,GELU,25,86289408,0.003725
SigLIP-B/16,Softmax,25,30620400,0.001322
SigLIP-B/16,LayerNorm,51,29982612,0.001294
SigLIP-B/16,L2Norm,2,4612,0.000000
SigLIP-B/16,Embedding,3,0,0.000000
SigLIP-B/16,Total,280,23163139000,1
SigLIP-L/16,Linear,292,96718035968,0.958718
SigLIP-L/16,GroupedQueryAttention,49,3449819136,0.034196
SigLIP-L/16,GELU,49,283152384,0.002807
SigLIP-L/16,Conv2d,1,201588736,0.001998
SigLIP-L/16,Softmax,49,133713920,0.001325
SigLIP-L/16,LayerNorm,99,96406788,0.000956
SigLIP-L/16,L2Norm,2,6148,0.000000
SigLIP-L/16,Embedding,3,0,0.000000
SigLIP-L/16,Total,544,100882723080,1
SigLIP-So400m/14,Linear,328,326206936640,0.899789
SigLIP-So400m/14,GroupedQueryAttention,55,33547728960,0.092536
SigLIP-So400m/14,Softmax,55,1156818240,0.003191
SigLIP-So400m/14,GELU,55,829415232,0.002288
SigLIP-So400m/14,Conv2d,1,494646912,0.001364
SigLIP-So400m/14,LayerNorm,111,301648256,0.000832
SigLIP-So400m/14,L2Norm,2,6916,0.000000
SigLIP-So400m/14,Embedding,3,0,0.000000
SigLIP-So400m/14,Total,610,362537201156,1
