model,operator,calls,macs,share
DINOv2-S,Linear,73,29147705320,0.610155
DINOv2-S,GroupedQueryAttention,12,17432647200,0.364921
DINOv2-S,Softmax,12,675684000,0.014144
DINOv2-S,Conv2d,1,309634944,0.006482
DINOv2-S,ErfGELU,12,126259200,0.002643
DINOv2-S,LayerNorm,25,79049000,0.001655
DINOv2-S,Dropout,13,0,0.000000
DINOv2-S,Total,148,47770979664,1
DINOv2-B,Linear,73,116475649000,0.757703
DINOv2-B,GroupedQueryAttention,12,34865294400,0.226807
DINOv2-B,Softmax,12,1351368000,0.008791
DINOv2-B,Conv2d,1,619269888,0.004029
DINOv2-B,ErfGELU,12,252518400,0.001643
DINOv2-B,LayerNorm,25,157961000,0.001028
DINOv2-B,Dropout,13,0,0.000000
DINOv2-B,Total,148,153722060688,1
DINOv2-L,Linear,145,414031217640,0.807833
DINOv2-L,GroupedQueryAttention,24,92974118400,0.181406
DINOv2-L,Softmax,24,3603648000,0.007031
DINOv2-L,Conv2d,1,825693184,0.001611
DINOv2-L,ErfGELU,24,673382400,0.001314
DINOv2-L,LayerNorm,49,412715240,0.000805
DINOv2-L,Dropout,25,0,0.000000
DINOv2-L,Total,292,512520774864,1
DINOv2-g,Linear,241,1552345908200,0.864094
DINOv2-g,GroupedQueryAttention,40,232435296000,0.129382
DINOv2-g,Softmax,40,9009120000,0.005015
DINOv2-g,Conv2d,1,1238539776,0.000689
DINOv2-g,LayerNorm,81,1023143400,0.000570
DINOv2-g,SiLU,40,448921600,0.000250
DINOv2-g,Dropout,41,0,0.000000
DINOv2-g,Total,484,1796500928976,1
