model,operator,calls,macs,share
MobileViT-XXS,Conv2d,35,195166208,0.433333
MobileViT-XXS,Linear,55,135634408,0.301153
MobileViT-XXS,GroupedQueryAttention,9,80556032,0.178861
MobileViT-XXS,BatchNorm2d,32,16093200,0.035732
MobileViT-XXS,Softmax,9,11857920,0.026328
MobileViT-XXS,SiLU,34,7714816,0.017129
MobileViT-XXS,LayerNorm,21,3361536,0.007464
MobileViT-XXS,Dropout,19,0,0.000000
MobileViT-XXS,Total,214,450384120,1
MobileViT-XS,Conv2d,35,607440896,0.545835
MobileViT-XS,Linear,55,303625192,0.272832
MobileViT-XS,GroupedQueryAttention,9,119648256,0.107514
MobileViT-XS,BatchNorm2d,32,44196096,0.039714
MobileViT-XS,SiLU,34,21069824,0.018933
MobileViT-XS,Softmax,9,11857920,0.010655
MobileViT-XS,LayerNorm,21,5026560,0.004517
MobileViT-XS,Dropout,19,0,0.000000
MobileViT-XS,Total,214,1112864744,1
MobileViT-S,Conv2d,35,1092354048,0.519134
MobileViT-S,Linear,55,734606312,0.349117
MobileViT-S,GroupedQueryAttention,9,180006912,0.085547
MobileViT-S,BatchNorm2d,32,52244448,0.024829
MobileViT-S,SiLU,34,25362432,0.012053
MobileViT-S,Softmax,9,11857920,0.005635
MobileViT-S,LayerNorm,21,7754496,0.003685
MobileViT-S,Dropout,19,0,0.000000
MobileViT-S,Total,214,2104186568,1
