model,operator,calls,macs,share
SegFormer-B0,Conv2d,20,9048915968,0.741960
SegFormer-B0,Linear,52,1909850112,0.156597
SegFormer-B0,GroupedQueryAttention,8,1056440320,0.086622
SegFormer-B0,Softmax,8,81264640,0.006663
SegFormer-B0,ErfGELU,8,40632320,0.003332
SegFormer-B0,LayerNorm,30,37883904,0.003106
SegFormer-B0,BatchNorm2d,1,16777728,0.001376
SegFormer-B0,ReLU,1,4194304,0.000344
SegFormer-B0,Dropout,25,0,0.000000
SegFormer-B0,Total,153,12195959296,1
SegFormer-B1,Conv2d,20,10359734272,0.523531
SegFormer-B1,Linear,52,7073103872,0.357440
SegFormer-B1,GroupedQueryAttention,8,2096627712,0.105953
SegFormer-B1,Softmax,8,81264640,0.004107
SegFormer-B1,ErfGELU,8,81264640,0.004107
SegFormer-B1,LayerNorm,30,75239424,0.003802
SegFormer-B1,BatchNorm2d,1,16777728,0.000848
SegFormer-B1,ReLU,1,4194304,0.000212
SegFormer-B1,Dropout,25,0,0.000000
SegFormer-B1,Total,153,19788206592,1
SegFormer-B2,Conv2d,35,53870804992,0.731218
SegFormer-B2,Linear,100,15391752192,0.208921
SegFormer-B2,GroupedQueryAttention,16,3922722816,0.053245
SegFormer-B2,Softmax,16,152043520,0.002064
SegFormer-B2,ErfGELU,16,152043520,0.002064
SegFormer-B2,LayerNorm,53,120402944,0.001634
SegFormer-B2,BatchNorm2d,1,50333184,0.000683
SegFormer-B2,ReLU,1,12582912,0.000171
SegFormer-B2,Dropout,49,0,0.000000
SegFormer-B2,Total,287,73672686080,1
SegFormer-B3,Conv2d,59,55287365632,0.610436
SegFormer-B3,Linear,172,28633300992,0.316145
SegFormer-B3,GroupedQueryAttention,28,5951717376,0.065714
SegFormer-B3,Softmax,28,230686720,0.002547
SegFormer-B3,ErfGELU,28,230686720,0.002547
SegFormer-B3,LayerNorm,89,173597696,0.001917
SegFormer-B3,BatchNorm2d,1,50333184,0.000556
SegFormer-B3,ReLU,1,12582912,0.000139
SegFormer-B3,Dropout,85,0,0.000000
SegFormer-B3,Total,491,90570271232,1
SegFormer-B4,Conv2d,85,56702238720,0.527360
SegFormer-B4,Linear,250,41297313792,0.384086
SegFormer-B4,GroupedQueryAttention,41,8555593728,0.079571
SegFormer-B4,Softmax,41,331612160,0.003084
SegFormer-B4,ErfGELU,41,331612160,0.003084
SegFormer-B4,LayerNorm,128,239581184,0.002228
SegFormer-B4,BatchNorm2d,1,50333184,0.000468
SegFormer-B4,ReLU,1,12582912,0.000117
SegFormer-B4,Dropout,124,0,0.000000
SegFormer-B4,Total,712,107520867840,1
SegFormer-B5,Conv2d,107,58060619776,0.469412
SegFormer-B5,Linear,316,54275899392,0.438813
SegFormer-B5,GroupedQueryAttention,52,10212605952,0.082568
SegFormer-B5,Softmax,52,395837440,0.003200
SegFormer-B5,ErfGELU,52,395837440,0.003200
SegFormer-B5,LayerNorm,161,284165120,0.002297
SegFormer-B5,BatchNorm2d,1,50333184,0.000407
SegFormer-B5,ReLU,1,12582912,0.000102
SegFormer-B5,Dropout,157,0,0.000000
SegFormer-B5,Total,899,123687881216,1
