model,operator,calls,macs,share
Swin-T,Linear,52,4348845544,0.951576
Swin-T,GroupedQueryAttention,12,144520992,0.031623
Swin-T,ErfGELU,12,28600320,0.006258
Swin-T,LayerNorm,29,22443176,0.004911
Swin-T,Conv2d,1,14751744,0.003228
Swin-T,Softmax,12,10948560,0.002396
Swin-T,AdaptiveAvgPool2d,1,38400,0.000008
Swin-T,Dropout,24,0,0.000000
Swin-T,Total,143,4570148736,1
Swin-S,Linear,100,8518772200,0.960707
Swin-S,GroupedQueryAttention,24,235797408,0.026592
Swin-S,ErfGELU,24,46663680,0.005263
Swin-S,LayerNorm,53,33300008,0.003755
Swin-S,Softmax,24,17863440,0.002015
Swin-S,Conv2d,1,14751744,0.001664
Swin-S,AdaptiveAvgPool2d,1,38400,0.000004
Swin-S,Dropout,48,0,0.000000
Swin-S,Total,275,8867186880,1
Swin-B,Linear,100,15134809064,0.970222
Swin-B,GroupedQueryAttention,24,314396544,0.020154
Swin-B,ErfGELU,24,62218240,0.003989
Swin-B,LayerNorm,53,44363816,0.002844
Swin-B,Softmax,24,23817920,0.001527
Swin-B,Conv2d,1,19668992,0.001261
Swin-B,AdaptiveAvgPool2d,1,51200,0.000003
Swin-B,Dropout,48,0,0.000000
Swin-B,Total,275,15599325776,1
Swin-L,Linear,100,34031552488,0.979938
Swin-L,GroupedQueryAttention,24,471594816,0.013580
Swin-L,ErfGELU,24,93327360,0.002687
Swin-L,LayerNorm,53,66491432,0.001915
Swin-L,Softmax,24,35726880,0.001029
Swin-L,Conv2d,1,29503488,0.000850
Swin-L,AdaptiveAvgPool2d,1,76800,0.000002
Swin-L,Dropout,48,0,0.000000
Swin-L,Total,275,34728273264,1
