model,operator,calls,macs,share
ViT-Ti/16,Linear,73,1050035944,0.819725
ViT-Ti/16,GroupedQueryAttention,12,180228996,0.140698
ViT-Ti/16,Conv2d,1,28939008,0.022592
ViT-Ti/16,ErfGELU,12,9077760,0.007087
ViT-Ti/16,Softmax,12,6985620,0.005453
ViT-Ti/16,LayerNorm,25,5693300,0.004445
ViT-Ti/16,Dropout,25,0,0.000000
ViT-Ti/16,Total,160,1280960628,1
ViT-S/16,Linear,73,4191586792,0.900755
ViT-S/16,GroupedQueryAttention,12,360457992,0.077461
ViT-S/16,Conv2d,1,57878016,0.012438
ViT-S/16,ErfGELU,12,18155520,0.003902
ViT-S/16,Softmax,12,13971240,0.003002
ViT-S/16,LayerNorm,25,11366900,0.002443
ViT-S/16,Dropout,25,0,0.000000
ViT-S/16,Total,160,4653416460,1
ViT-B/16,Linear,73,16749236200,0.947737
ViT-B/16,GroupedQueryAttention,12,720915984,0.040792
ViT-B/16,Conv2d,1,115756032,0.006550
ViT-B/16,ErfGELU,12,36311040,0.002055
ViT-B/16,Softmax,12,27942480,0.001581
ViT-B/16,LayerNorm,25,22714100,0.001285
ViT-B/16,Dropout,25,0,0.000000
ViT-B/16,Total,160,17672875836,1
ViT-L/16,Linear,145,59536606184,0.962689
ViT-L/16,GroupedQueryAttention,24,1922442624,0.031085
ViT-L/16,Conv2d,1,154341376,0.002496
ViT-L/16,ErfGELU,24,96829440,0.001566
ViT-L/16,Softmax,24,74513280,0.001205
ViT-L/16,LayerNorm,49,59346644,0.000960
ViT-L/16,Dropout,49,0,0.000000
ViT-L/16,Total,316,61844079548,1
ViT-H/14,Linear,193,161786440680,0.963405
ViT-H/14,GroupedQueryAttention,32,5444551168,0.032421
ViT-H/14,ErfGELU,32,210534400,0.001254
ViT-H/14,Conv2d,1,193003520,0.001149
ViT-H/14,Softmax,32,169085440,0.001007
ViT-H/14,LayerNorm,65,128361220,0.000764
ViT-H/14,Dropout,65,0,0.000000
ViT-H/14,Total,420,167931976428,1
