model,phase,batch,length,operator,calls,macs,elements,fused_elements,bytes,fused_bytes,intensity,fused_intensity
GPT-2,prefill,1,128,Embedding,2,0,39580672,39580672,79161344,79161344,0.0000,0.0000
GPT-2,prefill,1,128,LayerNorm,25,14758400,4953600,4953600,9907200,9907200,1.4897,1.4897
GPT-2,prefill,1,128,Linear,49,15822716928,149020544,149020544,298041088,298041088,53.0890,53.0890
GPT-2,prefill,1,128,Softmax,12,11796480,4718592,0,9437184,0,1.2500,
GPT-2,prefill,1,128,GroupedQueryAttention,12,304349184,9437184,4718592,18874368,9437184,16.1250,32.2500
GPT-2,prefill,1,128,GELU,12,42467328,9437184,9437184,18874368,18874368,2.2500,2.2500
GPT-2,prefill,1,128,Total,112,16196088320,217147776,207710592,434295552,415421184,37.2928,38.9872
GPT-2,decode,1,128,Embedding,2,0,39385346,39385346,78770692,78770692,0.0000,0.0000
GPT-2,decode,1,128,LayerNorm,25,115300,76800,76800,153600,153600,0.7507,0.7507
GPT-2,decode,1,128,Linear,49,123614976,123813457,123813457,247626914,247626914,0.4992,0.4992
GPT-2,decode,1,128,Softmax,12,92160,36864,0,73728,0,1.2500,
GPT-2,decode,1,128,GroupedQueryAttention,12,2377728,2414592,2377728,4829184,4755456,0.4924,0.5000
GPT-2,decode,1,128,GELU,12,331776,73728,73728,147456,147456,2.2500,2.2500
GPT-2,decode,1,128,Total,112,126531940,165800787,165727059,331601574,331454118,0.3816,0.3817
GPT-2,prefill,1,512,Embedding,2,0,40171264,40171264,80342528,80342528,0.0000,0.0000
GPT-2,prefill,1,512,LayerNorm,25,59033600,19699200,19699200,39398400,39398400,1.4984,1.4984
GPT-2,prefill,1,512,Linear,49,63290867712,225237248,225237248,450474496,450474496,140.4982,140.4982
GPT-2,prefill,1,512,Softmax,12,188743680,75497472,0,150994944,0,1.2500,
GPT-2,prefill,1,512,GroupedQueryAttention,12,4869586944,94371840,18874368,188743680,37748736,25.8000,129.0000
GPT-2,prefill,1,512,GELU,12,169869312,37748736,37748736,75497472,75497472,2.2500,2.2500
GPT-2,prefill,1,512,Total,112,68578101248,492725760,341730816,985451520,683461632,69.5905,100.3394
GPT-2,decode,1,512,Embedding,2,0,39385346,39385346,78770692,78770692,0.0000,0.0000
GPT-2,decode,1,512,LayerNorm,25,115300,76800,76800,153600,153600,0.7507,0.7507
GPT-2,decode,1,512,Linear,49,123614976,123813457,123813457,247626914,247626914,0.4992,0.4992
GPT-2,decode,1,512,Softmax,12,368640,147456,0,294912,0,1.2500,
GPT-2,decode,1,512,GroupedQueryAttention,12,9510912,9603072,9455616,19206144,18911232,0.4952,0.5029
GPT-2,decode,1,512,GELU,12,331776,73728,73728,147456,147456,2.2500,2.2500
GPT-2,decode,1,512,Total,112,133941604,173099859,172804947,346199718,345609894,0.3869,0.3876
GPT-2,prefill,1,1024,Embedding,2,0,40958720,40958720,81917440,81917440,0.0000,0.0000
GPT-2,prefill,1,1024,LayerNorm,25,118067200,39360000,39360000,78720000,78720000,1.4998,1.4998
GPT-2,prefill,1,1024,Linear,49,126581735424,326859520,326859520,653719040,653719040,193.6332,193.6332
GPT-2,prefill,1,1024,Softmax,12,754974720,301989888,0,603979776,0,1.2500,
GPT-2,prefill,1,1024,GroupedQueryAttention,12,19478347776,339738624,37748736,679477248,75497472,28.6667,258.0000
GPT-2,prefill,1,1024,GELU,12,339738624,75497472,75497472,150994944,150994944,2.2500,2.2500
GPT-2,prefill,1,1024,Total,112,147272863744,1124404224,520424448,2248808448,1040848896,65.4893,141.4930
GPT-2,decode,1,1024,Embedding,2,0,39385346,39385346,78770692,78770692,0.0000,0.0000
GPT-2,decode,1,1024,LayerNorm,25,115300,76800,76800,153600,153600,0.7507,0.7507
GPT-2,decode,1,1024,Linear,49,123614976,123813457,123813457,247626914,247626914,0.4992,0.4992
GPT-2,decode,1,1024,Softmax,12,737280,294912,0,589824,0,1.2500,
GPT-2,decode,1,1024,GroupedQueryAttention,12,19021824,19187712,18892800,38375424,37785600,0.4957,0.5034
GPT-2,decode,1,1024,GELU,12,331776,73728,73728,147456,147456,2.2500,2.2500
GPT-2,decode,1,1024,Total,112,143821156,182831955,182242131,365663910,364484262,0.3933,0.3946
GPT-2,prefill,4,128,Embedding,2,0,39875968,39875968,79751936,79751936,0.0000,0.0000
GPT-2,prefill,4,128,LayerNorm,25,59033600,19699200,19699200,39398400,39398400,1.4984,1.4984
GPT-2,prefill,4,128,Linear,49,63290867712,225237248,225237248,450474496,450474496,140.4982,140.4982
GPT-2,prefill,4,128,Softmax,12,47185920,18874368,0,37748736,0,1.2500,
GPT-2,prefill,4,128,GroupedQueryAttention,12,1217396736,37748736,18874368,75497472,37748736,16.1250,32.2500
GPT-2,prefill,4,128,GELU,12,169869312,37748736,37748736,75497472,75497472,2.2500,2.2500
GPT-2,prefill,4,128,Total,112,64784353280,379184256,341435520,758368512,682871040,85.4260,94.8706
GPT-2,decode,4,128,Embedding,2,0,39387653,39387653,78775306,78775306,0.0000,0.0000
GPT-2,decode,4,128,LayerNorm,25,461200,192000,192000,384000,384000,1.2010,1.2010
GPT-2,decode,4,128,Linear,49,494459904,124408900,124408900,248817800,248817800,1.9872,1.9872
GPT-2,decode,4,128,Softmax,12,368640,147456,0,294912,0,1.2500,
GPT-2,decode,4,128,GroupedQueryAttention,12,9510912,9658368,9510912,19316736,19021824,0.4924,0.5000
GPT-2,decode,4,128,GELU,12,1327104,294912,294912,589824,589824,2.2500,2.2500
GPT-2,decode,4,128,Total,112,506127760,174089289,173794377,348178578,347588754,1.4536,1.4561
GPT-2,prefill,4,512,Embedding,2,0,41352448,41352448,82704896,82704896,0.0000,0.0000
GPT-2,prefill,4,512,LayerNorm,25,236134400,78681600,78681600,157363200,157363200,1.5006,1.5006
GPT-2,prefill,4,512,Linear,49,253163470848,530104064,530104064,1060208128,1060208128,238.7866,238.7866
GPT-2,prefill,4,512,Softmax,12,754974720,301989888,0,603979776,0,1.2500,
GPT-2,prefill,4,512,GroupedQueryAttention,12,19478347776,377487360,75497472,754974720,150994944,25.8000,129.0000
GPT-2,prefill,4,512,GELU,12,679477248,150994944,150994944,301989888,301989888,2.2500,2.2500
GPT-2,prefill,4,512,Total,112,274312404992,1480610304,876630528,2961220608,1753261056,92.6349,156.4584
GPT-2,decode,4,512,Embedding,2,0,39387653,39387653,78775306,78775306,0.0000,0.0000
GPT-2,decode,4,512,LayerNorm,25,461200,192000,192000,384000,384000,1.2010,1.2010
GPT-2,decode,4,512,Linear,49,494459904,124408900,124408900,248817800,248817800,1.9872,1.9872
GPT-2,decode,4,512,Softmax,12,1474560,589824,0,1179648,0,1.2500,
GPT-2,decode,4,512,GroupedQueryAttention,12,38043648,38412288,37822464,76824576,75644928,0.4952,0.5029
GPT-2,decode,4,512,GELU,12,1327104,294912,294912,589824,589824,2.2500,2.2500
GPT-2,decode,4,512,Total,112,535766416,203285577,202105929,406571154,404211858,1.3178,1.3255
GPT-2,prefill,4,1024,Embedding,2,0,43321088,43321088,86642176,86642176,0.0000,0.0000
GPT-2,prefill,4,1024,LayerNorm,25,472268800,157324800,157324800,314649600,314649600,1.5009,1.5009
GPT-2,prefill,4,1024,Linear,49,506326941696,936593152,936593152,1873186304,1873186304,270.3025,270.3025
GPT-2,prefill,4,1024,Softmax,12,3019898880,1207959552,0,2415919104,0,1.2500,
GPT-2,prefill,4,1024,GroupedQueryAttention,12,77913391104,1358954496,150994944,2717908992,301989888,28.6667,258.0000
GPT-2,prefill,4,1024,GELU,12,1358954496,301989888,301989888,603979776,603979776,2.2500,2.2500
