model,phase,batch,length,operator,calls,macs,elements,fused_elements,bytes,fused_bytes,intensity,fused_intensity
SmolLM2-135M,prefill,1,128,Embedding,1,0,28385408,28385408,56770816,56770816,0.0000,0.0000
SmolLM2-135M,prefill,1,128,RotaryEmbedding,61,10342400,6897824,6897824,13795648,13795648,0.7497,0.7497
SmolLM2-135M,prefill,1,128,RMSNorm,61,18013056,9029952,9029952,18059904,18059904,0.9974,0.9974
SmolLM2-135M,prefill,1,128,Linear,211,17213423616,179920896,179920896,359841792,359841792,47.8361,47.8361
SmolLM2-135M,prefill,1,128,Softmax,30,22118400,8847360,0,17694720,0,1.2500,
SmolLM2-135M,prefill,1,128,GroupedQueryAttention,30,570654720,14745600,5898240,29491200,11796480,19.3500,48.3750
SmolLM2-135M,prefill,1,128,SiLU,30,11796480,11796480,11796480,23592960,23592960,0.5000,0.5000
SmolLM2-135M,prefill,1,128,Total,424,17846348672,259623520,241928800,519247040,483857600,34.3697,36.8835
SmolLM2-135M,decode,1,128,Embedding,1,0,28312129,28312129,56624258,56624258,0.0000,0.0000
SmolLM2-135M,decode,1,128,RotaryEmbedding,61,80800,53921,53921,107842,107842,0.7492,0.7492
SmolLM2-135M,decode,1,128,RMSNorm,61,140727,105408,105408,210816,210816,0.6675,0.6675
SmolLM2-135M,decode,1,128,Linear,211,134479872,134834880,134834880,269669760,269669760,0.4987,0.4987
SmolLM2-135M,decode,1,128,Softmax,30,172800,69120,0,138240,0,1.2500,
SmolLM2-135M,decode,1,128,GroupedQueryAttention,30,4458240,1578240,1509120,3156480,3018240,1.4124,1.4771
SmolLM2-135M,decode,1,128,SiLU,30,92160,92160,92160,184320,184320,0.5000,0.5000
SmolLM2-135M,decode,1,128,Total,424,139424599,165045858,164907618,330091716,329815236,0.4224,0.4227
SmolLM2-135M,prefill,1,512,Embedding,1,0,28606976,28606976,57213952,57213952,0.0000,0.0000
SmolLM2-135M,prefill,1,512,RotaryEmbedding,61,41369600,27591200,27591200,55182400,55182400,0.7497,0.7497
SmolLM2-135M,prefill,1,512,RMSNorm,61,72052224,36014400,36014400,72028800,72028800,1.0003,1.0003
SmolLM2-135M,prefill,1,512,Linear,211,68853694464,316243968,316243968,632487936,632487936,108.8617,108.8617
SmolLM2-135M,prefill,1,512,Softmax,30,353894400,141557760,0,283115520,0,1.2500,
SmolLM2-135M,prefill,1,512,GroupedQueryAttention,30,9130475520,165150720,23592960,330301440,47185920,27.6429,193.5000
SmolLM2-135M,prefill,1,512,SiLU,30,47185920,47185920,47185920,94371840,94371840,0.5000,0.5000
SmolLM2-135M,prefill,1,512,Total,424,78498672128,762350944,479235424,1524701888,958470848,51.4846,81.8999
SmolLM2-135M,decode,1,512,Embedding,1,0,28312129,28312129,56624258,56624258,0.0000,0.0000
SmolLM2-135M,decode,1,512,RotaryEmbedding,61,80800,53921,53921,107842,107842,0.7492,0.7492
SmolLM2-135M,decode,1,512,RMSNorm,61,140727,105408,105408,210816,210816,0.6675,0.6675
SmolLM2-135M,decode,1,512,Linear,211,134479872,134834880,134834880,269669760,269669760,0.4987,0.4987
SmolLM2-135M,decode,1,512,Softmax,30,691200,276480,0,552960,0,1.2500,
SmolLM2-135M,decode,1,512,GroupedQueryAttention,30,17832960,6209280,5932800,12418560,11865600,1.4360,1.5029
SmolLM2-135M,decode,1,512,SiLU,30,92160,92160,92160,184320,184320,0.5000,0.5000
SmolLM2-135M,decode,1,512,Total,424,153317719,169884258,169331298,339768516,338662596,0.4512,0.4527
SmolLM2-135M,prefill,1,2048,Embedding,1,0,29493248,29493248,58986496,58986496,0.0000,0.0000
SmolLM2-135M,prefill,1,2048,RotaryEmbedding,61,165478400,110364704,110364704,220729408,220729408,0.7497,0.7497
SmolLM2-135M,prefill,1,2048,RMSNorm,61,288208896,143952192,143952192,287904384,287904384,1.0011,1.0011
SmolLM2-135M,prefill,1,2048,Linear,211,275414777856,861536256,861536256,1723072512,1723072512,159.8393,159.8393
SmolLM2-135M,prefill,1,2048,Softmax,30,5662310400,2264924160,0,4529848320,0,1.2500,
SmolLM2-135M,prefill,1,2048,GroupedQueryAttention,30,146087608320,2359296000,94371840,4718592000,188743680,30.9600,774.0000
SmolLM2-135M,prefill,1,2048,SiLU,30,188743680,188743680,188743680,377487360,377487360,0.5000,0.5000
SmolLM2-135M,prefill,1,2048,Total,424,427807127552,5958310240,1428461920,11916620480,2856923840,35.9000,149.7440
SmolLM2-135M,decode,1,2048,Embedding,1,0,28312129,28312129,56624258,56624258,0.0000,0.0000
SmolLM2-135M,decode,1,2048,RotaryEmbedding,61,80800,53921,53921,107842,107842,0.7492,0.7492
SmolLM2-135M,decode,1,2048,RMSNorm,61,140727,105408,105408,210816,210816,0.6675,0.6675
SmolLM2-135M,decode,1,2048,Linear,211,134479872,134834880,134834880,269669760,269669760,0.4987,0.4987
SmolLM2-135M,decode,1,2048,Softmax,30,2764800,1105920,0,2211840,0,1.2500,
SmolLM2-135M,decode,1,2048,GroupedQueryAttention,30,71331840,24733440,23627520,49466880,47255040,1.4420,1.5095
