model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
GPT-2,prefill,1,edge,Embedding,0,80342528,0.0000,0.0000,5.0214,5.0214,memory
GPT-2,prefill,1,edge,LayerNorm,59033600,39398400,1.4984,0.0295,2.4624,2.4624,memory
GPT-2,prefill,1,edge,Linear,63290867712,617818624,102.4425,31.6454,38.6137,38.6137,memory
GPT-2,prefill,1,edge,Softmax,188743680,150994944,1.2500,0.0944,9.4372,9.4372,memory
GPT-2,prefill,1,edge,GroupedQueryAttention,4869586944,188743680,25.8000,2.4348,11.7965,11.7965,memory
GPT-2,prefill,1,edge,GELU,169869312,75497472,2.2500,0.0849,4.7186,4.7186,memory
GPT-2,prefill,1,mid,Embedding,0,80342528,0.0000,0.0000,0.6277,0.6277,memory
GPT-2,prefill,1,mid,LayerNorm,59033600,39398400,1.4984,0.0037,0.3078,0.3078,memory
GPT-2,prefill,1,mid,Linear,63290867712,505358848,125.2395,3.9557,3.9481,3.9557,compute
GPT-2,prefill,1,mid,Softmax,188743680,150994944,1.2500,0.0118,1.1796,1.1796,memory
GPT-2,prefill,1,mid,GroupedQueryAttention,4869586944,188743680,25.8000,0.3043,1.4746,1.4746,memory
GPT-2,prefill,1,mid,GELU,169869312,75497472,2.2500,0.0106,0.5898,0.5898,memory
GPT-2,prefill,1,high,Embedding,0,80342528,0.0000,0.0000,0.1569,0.1569,memory
GPT-2,prefill,1,high,LayerNorm,59033600,39398400,1.4984,0.0009,0.0770,0.0770,memory
GPT-2,prefill,1,high,Linear,63290867712,505358848,125.2395,0.9889,0.9870,0.9889,compute
GPT-2,prefill,1,high,Softmax,188743680,150994944,1.2500,0.0029,0.2949,0.2949,memory
GPT-2,prefill,1,high,GroupedQueryAttention,4869586944,188743680,25.8000,0.0761,0.3686,0.3686,memory
GPT-2,prefill,1,high,GELU,169869312,75497472,2.2500,0.0027,0.1475,0.1475,memory
GPT-2,decode,1,edge,Embedding,0,78770692,0.0000,0.0000,4.9232,4.9232,memory
GPT-2,decode,1,edge,LayerNorm,115300,153600,0.7507,0.0001,0.0096,0.0096,memory
GPT-2,decode,1,edge,Linear,123614976,247788194,0.4989,0.0618,15.4868,15.4868,memory
GPT-2,decode,1,edge,Softmax,368640,294912,1.2500,0.0002,0.0184,0.0184,memory
GPT-2,decode,1,edge,GroupedQueryAttention,9510912,19206144,0.4952,0.0048,1.2004,1.2004,memory
GPT-2,decode,1,edge,GELU,331776,147456,2.2500,0.0002,0.0092,0.0092,memory
GPT-2,decode,1,mid,Embedding,0,78770692,0.0000,0.0000,0.6154,0.6154,memory
GPT-2,decode,1,mid,LayerNorm,115300,153600,0.7507,0.0000,0.0012,0.0012,memory
