model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,prefill,1,0.5,4,256 KB,137.1562,398.9203,398.9203
GPT-2,prefill,1,0.5,8,256 KB,137.1562,199.4602,199.4602
GPT-2,prefill,1,0.5,16,256 KB,137.1562,99.7301,161.7873
GPT-2,prefill,1,0.5,32,256 KB,137.1562,49.8650,147.1407
GPT-2,prefill,1,0.5,64,256 KB,137.1562,24.9325,141.7308
GPT-2,prefill,1,0.5,128,256 KB,137.1562,12.4663,139.0259
GPT-2,prefill,1,0.5,256,256 KB,137.1562,6.2331,137.7182
GPT-2,prefill,1,0.5,512,256 KB,137.1562,3.1166,137.3131
GPT-2,prefill,1,1.0,4,256 KB,68.5781,398.9203,398.9203
GPT-2,prefill,1,1.0,8,256 KB,68.5781,199.4602,199.4602
GPT-2,prefill,1,1.0,16,256 KB,68.5781,99.7301,99.7301
GPT-2,prefill,1,1.0,32,256 KB,68.5781,49.8650,80.8936
GPT-2,prefill,1,1.0,64,256 KB,68.5781,24.9325,73.5704
GPT-2,prefill,1,1.0,128,256 KB,68.5781,12.4663,70.8654
GPT-2,prefill,1,1.0,256,256 KB,68.5781,6.2331,69.5129
GPT-2,prefill,1,1.0,512,256 KB,68.5781,3.1166,68.8591
GPT-2,prefill,1,2.0,4,256 KB,34.2891,398.9203,398.9203
GPT-2,prefill,1,2.0,8,256 KB,34.2891,199.4602,199.4602
GPT-2,prefill,1,2.0,16,256 KB,34.2891,99.7301,99.7301
GPT-2,prefill,1,2.0,32,256 KB,34.2891,49.8650,49.8650
GPT-2,prefill,1,2.0,64,256 KB,34.2891,24.9325,40.4468
GPT-2,prefill,1,2.0,128,256 KB,34.2891,12.4663,36.7852
GPT-2,prefill,1,2.0,256,256 KB,34.2891,6.2331,35.4327
GPT-2,prefill,1,2.0,512,256 KB,34.2891,3.1166,34.7565
GPT-2,prefill,1,4.0,4,256 KB,17.1445,398.9203,398.9203
GPT-2,prefill,1,4.0,8,256 KB,17.1445,199.4602,199.4602
GPT-2,prefill,1,4.0,16,256 KB,17.1445,99.7301,99.7301
GPT-2,prefill,1,4.0,32,256 KB,17.1445,49.8650,49.8650
GPT-2,prefill,1,4.0,64,256 KB,17.1445,24.9325,24.9325
GPT-2,prefill,1,4.0,128,256 KB,17.1445,12.4663,20.2234
GPT-2,prefill,1,4.0,256,256 KB,17.1445,6.2331,18.3926
GPT-2,prefill,1,4.0,512,256 KB,17.1445,3.1166,17.7164
GPT-2,prefill,1,8.0,4,256 KB,8.5723,398.9203,398.9203
GPT-2,prefill,1,8.0,8,256 KB,8.5723,199.4602,199.4602
